ID,PageSectionID,Title,OrderNumber,AssignmentGroupID,CreatedAt,OpenedAt,DueAt,LateSubmissionAllowed,Body,MaxFilesAllowed
5,2,Reactive radical policy,10,24,2024-01-25 01:18,2024-01-26 01:18,2024-02-24 01:18,False,,3
13,6,Customizable disintermediate methodology,1,35,2024-02-03 23:02,2024-02-08 23:02,2024-02-21 23:02,True,,2
21,8,Cloned 24/7 firmware,7,80,2024-04-05 21:49,2024-04-09 21:49,2024-05-09 21:49,True,,1
22,9,Extended 6thgeneration approach,6,8,2024-03-25 21:48,2024-03-30 21:48,2024-04-28 21:48,False,,3
26,11,Total impactful artificial intelligence,3,41,2024-04-25 03:17,2024-04-29 03:17,2024-05-13 03:17,True,,1
30,12,Profound demand-driven workforce,4,54,2024-03-02 15:00,2024-03-06 15:00,2024-03-26 15:00,True,Identify floor cause agent market fast trade identify. On yes staff. Rather point little wait grow. Suddenly subject theory Congress best. Scientist rise next tree.,1
33,12,Virtual solution-oriented software,7,83,2024-04-28 05:14,2024-04-29 05:14,2024-05-19 05:14,True,,4
36,13,Front-line analyzing encryption,2,33,2024-04-02 19:04,2024-04-05 19:04,2024-04-30 19:04,False,Would finish around later decide similar office citizen. Can its investment investment. Himself also current health add focus street. Quality phone eat. Fine bill me fill assume animal.,1
40,14,User-centric stable support,4,66,2024-02-14 16:43,2024-02-17 16:43,2024-03-06 16:43,False,,5
71,24,Cloned maximized forecast,3,32,2024-04-15 03:43,2024-04-18 03:43,2024-05-09 03:43,False,,2
104,33,Visionary optimal benchmark,6,42,2024-04-11 05:03,2024-04-12 05:03,2024-05-07 05:03,False,Often shoulder defense already end thus music president. Hotel through operation tax card may. However maybe production summer.,3
107,34,Open-source bottom-line monitoring,10,72,2024-03-11 00:14,2024-03-13 00:14,2024-04-11 00:14,True,Heavy trade might good test. Society thought according think key discover method. Deep cost gun response brother. Specific result loss long decision claim. Against amount of claim picture always.,3
109,35,Organized fault-tolerant Local Area Network,5,34,2024-03-19 14:00,2024-03-22 14:00,2024-04-20 14:00,True,,2
112,36,Triple-buffered tangible portal,7,63,2024-03-22 12:41,2024-03-25 12:41,2024-04-17 12:41,True,,2
125,41,Self-enabling secondary artificial intelligence,10,90,2024-02-18 16:56,2024-02-19 16:56,2024-02-29 16:56,True,,1
130,42,Managed bottom-line analyzer,4,89,2024-02-14 02:28,2024-02-17 02:28,2024-03-01 02:28,False,,1
141,47,Polarized analyzing array,4,17,2024-03-24 19:44,2024-03-26 19:44,2024-04-05 19:44,True,,3
155,52,Diverse bandwidth-monitored encryption,8,66,2024-02-28 16:35,2024-03-02 16:35,2024-03-17 16:35,True,Summer he firm. Than make worker trouble exactly develop office. Moment institution vote. Girl team simply lead build million firm. Purpose here beyond.,3
157,53,Public-key user-facing approach,3,2,2024-01-18 19:34,2024-01-20 19:34,2024-02-07 19:34,True,Matter yet support military result size. Economy teach answer between clear. Live picture last free guess. Newspaper special general in go quickly paper.,4
180,61,Inverse client-driven complexity,4,83,2024-03-19 02:51,2024-03-24 02:51,2024-04-17 02:51,True,Guess sea three state. Statement entire American audience. Back democratic mind big discuss. Cover prevent now way next. Indeed black police group learn professor third. Society nearly measure price.,3
183,62,Intuitive context-sensitive strategy,5,89,2024-01-03 14:02,2024-01-05 14:02,2024-01-17 14:02,False,,5
191,64,Re-contextualized 5thgeneration contingency,3,16,2024-03-14 09:12,2024-03-15 09:12,2024-04-08 09:12,False,,5
197,68,Intuitive composite productivity,2,24,2024-01-03 06:32,2024-01-07 06:32,2024-01-19 06:32,False,Woman meet report tough machine. Mother cost may leader unit again easy morning. Majority season adult range green few.,2
204,70,Business-focused human-resource intranet,7,58,2024-02-21 05:36,2024-02-25 05:36,2024-03-18 05:36,False,True fish newspaper we brother fish they. She they increase. Kitchen value thus value event. Blood continue several partner environment. Partner others discuss ago bag sister care.,4
210,72,Synergized directional complexity,6,53,2024-03-26 19:08,2024-03-27 19:08,2024-04-16 19:08,False,Order modern then skin minute later still. There early Mrs. Newspaper might piece. Couple keep this. Coach family try ready tough less position. Reveal both single visit.,2
236,82,Object-based methodical matrix,9,29,2024-01-03 16:16,2024-01-07 16:16,2024-01-28 16:16,False,Fly court everybody five kid. Evening church boy when. Bill my near even wall sound off. Author party full kitchen. Ahead tough anyone himself.,2
242,84,Persistent empowering definition,3,96,2024-03-29 01:56,2024-03-31 01:56,2024-04-16 01:56,False,Boy other foot best knowledge final image. Board sport side her management produce bed stage. Tough player a chair chance most hope official.,1
246,85,Synchronized grid-enabled workforce,1,46,2024-01-01 21:14,2024-01-02 21:14,2024-01-24 21:14,False,,5
256,89,Digitized bottom-line system engine,9,92,2024-01-03 19:45,2024-01-04 19:45,2024-01-17 19:45,True,,3
257,89,Organized context-sensitive concept,6,8,2024-01-07 18:37,2024-01-11 18:37,2024-02-02 18:37,False,Point remain build task candidate prevent tonight not. To receive education level. Two everybody interview tough show food class. Everyone artist home you.,4
