ID,PageSectionID,Title,OrderNumber,AssignmentGroupID,CreatedAt,OpenedAt,DueAt,LateSubmissionAllowed,Body,NumberOfQuestions,ShuffleAnswers,ShuffleQuestions,TimeLimit
8,3,Switchable exuding database,1,54,2024-01-11 08:49,2024-01-15 08:49,2024-01-29 08:49,False,For everybody leader them skill performance mission. Both change note old who beyond. None big experience movie.,20,False,False,1740.0
25,10,Visionary intangible interface,5,67,2024-03-01 22:28,2024-03-02 22:28,2024-03-17 22:28,False,,16,False,False,6240.0
32,12,Object-based optimizing productivity,8,20,2024-04-11 18:22,2024-04-15 18:22,2024-05-03 18:22,True,,10,False,True,7200.0
46,16,Multi-layered clear-thinking synergy,9,43,2024-02-19 21:28,2024-02-20 21:28,2024-03-07 21:28,True,,11,True,True,3900.0
51,17,Universal object-oriented product,7,71,2024-03-13 13:12,2024-03-17 13:12,2024-04-12 13:12,False,,11,False,True,6360.0
56,18,Visionary bi-directional orchestration,4,60,2024-03-21 19:36,2024-03-24 19:36,2024-04-19 19:36,True,,8,False,True,5760.0
59,19,Adaptive 6thgeneration access,8,66,2024-01-08 13:05,2024-01-10 13:05,2024-02-05 13:05,False,Relate question should. Rich difference what their mind read peace. Product eat generation put his stuff.,8,False,False,5940.0
62,20,Enhanced 5thgeneration neural-net,4,51,2024-02-19 02:55,2024-02-21 02:55,2024-03-08 02:55,False,Stay social white. Three none pressure lay future. Staff such forward.,9,False,True,4920.0
64,21,Operative directional Graphic Interface,4,39,2024-04-24 19:46,2024-04-26 19:46,2024-05-07 19:46,True,,6,False,False,4800.0
79,26,Vision-oriented dedicated superstructure,3,90,2024-04-25 01:25,2024-04-27 01:25,2024-05-18 01:25,True,,10,True,True,3840.0
80,26,Quality-focused well-modulated utilization,10,87,2024-01-02 13:04,2024-01-07 13:04,2024-01-31 13:04,True,Than team kitchen difficult plant remember happy open. Cultural right cover large work avoid while same.,15,False,False,5520.0
84,27,Team-oriented 24/7 groupware,3,54,2024-03-19 20:25,2024-03-22 20:25,2024-04-12 20:25,False,Group six fish detail contain attention measure. Myself idea glass third professional former. Despite sell most you statement. Protect knowledge toward party.,12,False,False,3480.0
96,30,Compatible optimizing open system,3,48,2024-03-16 01:51,2024-03-18 01:51,2024-04-15 01:51,False,Hope brother accept. As second animal summer group me face rate. Beat she join house produce listen mouth carry. Far plant fear thought whole term possible. Network never but. Of hour natural.,14,False,True,1920.0
97,31,Centralized intermediate protocol,3,5,2024-01-07 11:30,2024-01-09 11:30,2024-02-08 11:30,False,Popular available public economy culture oil week. Campaign pretty beyond people too fish. Foreign process really charge note space when.,18,False,False,6360.0
99,31,Fundamental foreground website,1,30,2024-04-02 07:08,2024-04-04 07:08,2024-04-22 07:08,False,,11,True,True,5640.0
114,37,Digitized background structure,3,35,2024-02-29 23:04,2024-03-03 23:04,2024-03-27 23:04,True,,15,True,False,5160.0
121,39,Customer-focused client-driven capability,5,44,2024-02-03 17:53,2024-02-06 17:53,2024-03-03 17:53,False,,20,False,False,4140.0
128,41,Exclusive secondary intranet,10,83,2024-02-13 13:25,2024-02-18 13:25,2024-03-18 13:25,True,,8,True,False,1980.0
136,45,Enterprise-wide even-keeled focus group,6,26,2024-02-23 04:51,2024-02-26 04:51,2024-03-27 04:51,False,,6,True,False,6660.0
147,50,Quality-focused zero tolerance matrix,8,82,2024-04-24 17:29,2024-04-28 17:29,2024-05-09 17:29,False,Above company media next me future bring. What then spend offer reason whom none. Serious which learn leave only. Break attack plant yes quality discover firm.,13,True,True,6180.0
156,53,Switchable disintermediate flexibility,4,57,2024-04-05 07:23,2024-04-08 07:23,2024-04-21 07:23,False,,11,True,False,7140.0
164,55,Re-contextualized non-volatile circuit,2,1,2024-03-12 02:54,2024-03-15 02:54,2024-04-12 02:54,True,,12,False,True,4800.0
166,56,Proactive needs-based function,7,63,2024-01-20 10:48,2024-01-24 10:48,2024-02-06 10:48,False,,14,True,False,3840.0
167,56,Enhanced mobile alliance,3,85,2024-03-17 22:57,2024-03-18 22:57,2024-04-17 22:57,True,Bad personal might son party. Expect sea speak include table. Face PM pay evening. Man fly charge wide against win example by.,18,False,True,960.0
179,60,Cross-platform global framework,6,75,2024-01-02 13:24,2024-01-04 13:24,2024-01-24 13:24,True,,11,False,True,5760.0
213,73,Intuitive empowering benchmark,8,50,2024-04-23 03:27,2024-04-24 03:27,2024-05-24 03:27,True,Analysis color friend the television class. Condition Republican information finally. Eye Congress together whether about she activity.,7,True,True,6540.0
220,76,Robust intermediate complexity,3,4,2024-02-09 05:14,2024-02-12 05:14,2024-03-02 05:14,False,Receive partner body role pick. Low read value worry. Interview summer employee offer perhaps. None mind place manage conference participant remember without. Brother let someone.,8,False,True,4140.0
226,79,Front-line bandwidth-monitored application,1,27,2024-04-03 09:30,2024-04-05 09:30,2024-04-17 09:30,False,Federal right firm movie decade rate son. At chance subject fund heart move. Paper cost bring site final tax report. Including market down later week.,13,True,True,5340.0
229,80,Multi-lateral 24hour interface,9,28,2024-03-26 00:29,2024-03-29 00:29,2024-04-22 00:29,False,,13,True,False,4440.0
238,83,Stand-alone needs-based info-mediaries,10,96,2024-01-12 14:05,2024-01-14 14:05,2024-02-05 14:05,True,Discuss difference technology pay tree hot record. Small think law air little goal. Suffer executive give offer meet if research.,6,True,False,5460.0
