ID,PageSectionID,Title,OrderNumber,FileID
1,1,Upgradable human-resource hardware,3,36
2,1,Optimized foreground utilization,4,67
3,2,Devolved dynamic focus group,6,59
7,3,Vision-oriented system-worthy algorithm,2,15
9,3,Programmable real-time migration,2,73
10,4,Ergonomic value-added infrastructure,8,76
16,7,Intuitive clear-thinking info-mediaries,10,69
17,7,Re-contextualized intangible hierarchy,7,45
18,8,Quality-focused systemic conglomeration,8,53
20,8,Compatible 3rdgeneration parallelism,7,34
27,11,Sharable national monitoring,1,5
31,12,Distributed national Graphic Interface,5,7
35,13,Total intermediate superstructure,1,40
37,13,Cross-group intermediate budgetary management,5,30
41,15,Enhanced bottom-line access,4,78
47,16,Vision-oriented encompassing superstructure,8,28
48,16,Decentralized zero administration algorithm,6,53
49,16,Managed interactive flexibility,10,95
53,17,Profound high-level approach,3,8
60,19,Fully-configurable 6thgeneration leverage,9,23
66,22,Intuitive encompassing archive,9,7
67,23,Re-engineered holistic capability,4,47
68,24,Profit-focused systematic application,7,91
69,24,Enhanced directional website,6,26
72,24,Vision-oriented fault-tolerant Graphic Interface,4,65
75,25,Implemented non-volatile toolset,10,88
78,26,Reverse-engineered modular throughput,10,4
81,26,Fully-configurable coherent ability,4,61
82,26,Open-source 4thgeneration emulation,8,76
83,27,Quality-focused grid-enabled productivity,5,71
85,27,Adaptive well-modulated protocol,8,34
86,27,Multi-tiered user-facing superstructure,1,96
88,28,Progressive disintermediate instruction set,4,89
89,29,Pre-emptive analyzing circuit,4,12
90,29,Universal even-keeled array,1,37
91,29,Balanced discrete model,9,4
93,29,Persevering value-added artificial intelligence,1,50
95,30,Devolved scalable infrastructure,4,7
98,31,De-engineered disintermediate frame,6,87
100,32,Object-based tangible support,3,66
103,33,Exclusive client-driven time-frame,9,3
105,33,Distributed bi-directional concept,2,83
108,34,Multi-channeled zero administration database,2,29
115,37,Fully-configurable heuristic infrastructure,9,28
120,39,Fully-configurable bandwidth-monitored Local Area Network,5,60
123,39,Face-to-face clear-thinking customer loyalty,3,75
127,41,Compatible 3rdgeneration architecture,3,72
131,42,Persistent actuating concept,10,9
132,43,Re-engineered intermediate success,8,44
135,45,Enhanced heuristic data-warehouse,6,36
139,47,Fully-configurable secondary frame,1,8
142,47,Grass-roots human-resource challenge,4,38
144,49,Progressive dynamic product,2,34
145,49,Quality-focused 3rdgeneration implementation,1,54
146,49,Universal heuristic matrices,1,52
149,50,Inverse human-resource flexibility,3,44
150,50,Enterprise-wide 4thgeneration functionalities,7,93
152,51,Vision-oriented even-keeled approach,6,86
153,51,Phased multi-tasking help-desk,9,46
154,51,Visionary optimal emulation,7,65
160,53,Enhanced disintermediate parallelism,1,29
171,59,Managed reciprocal customer loyalty,8,88
172,59,De-engineered global structure,1,49
174,59,Ameliorated client-server parallelism,3,68
175,60,Triple-buffered client-server time-frame,7,39
176,60,Customizable multi-tasking hierarchy,3,53
181,61,Upgradable intermediate utilization,7,41
185,62,Multi-channeled directional secured line,5,43
187,63,Integrated upward-trending solution,1,81
194,67,Re-contextualized bi-directional methodology,5,27
195,68,Digitized full-range synergy,8,98
201,69,Expanded dynamic solution,2,52
203,70,Customer-focused uniform ability,5,55
205,70,Upgradable intangible concept,8,5
206,71,Open-source modular implementation,5,69
207,71,Monitored needs-based implementation,2,26
208,71,Cross-platform mission-critical toolset,9,94
209,71,Re-engineered solution-oriented task-force,7,48
212,73,Automated explicit adapter,3,3
214,73,Compatible global concept,1,29
222,78,Expanded content-based installation,9,14
227,80,Object-based object-oriented neural-net,9,39
230,80,Cross-group explicit protocol,8,56
231,81,Self-enabling radical matrices,4,88
232,81,Exclusive bandwidth-monitored algorithm,8,18
234,81,Implemented attitude-oriented leverage,2,44
239,83,Enterprise-wide holistic implementation,10,30
241,83,Balanced empowering intranet,2,29
244,84,Distributed web-enabled standardization,4,16
245,84,Synchronized bandwidth-monitored artificial intelligence,4,47
247,85,Quality-focused incremental system engine,7,99
249,87,Centralized human-resource model,3,77
252,88,Phased exuding artificial intelligence,2,7
253,88,Object-based transitional alliance,2,85
