StudentID,SectionItemID
62,250
34,144
93,193
17,52
17,176
40,190
71,146
23,242
29,38
49,212
29,78
92,154
92,103
89,46
71,126
49,134
89,150
15,72
20,161
55,229
32,95
49,240
34,236
55,171
32,133
40,12
29,62
96,211
70,203
80,25
82,31
82,192
15,224
17,168
89,252
45,171
96,35
20,48
89,58
89,82
82,45
92,240
93,98
20,221
40,239
71,78
96,170
20,94
96,174
71,222
15,206
92,151
15,200
15,5
34,166
70,78
40,115
92,168
89,235
96,103
92,182
92,79
32,76
32,158
31,52
15,21
29,179
20,168
49,118
32,104
45,84
70,139
34,112
55,14
29,226
23,193
15,228
32,195
17,229
71,205
32,106
62,64
20,90
82,63
31,108
23,251
93,184
49,213
32,108
20,185
80,131
82,58
71,9
15,195
70,205
23,182
55,159
20,223
96,154
34,44
96,200
80,9
40,166
17,73
34,91
92,5
29,80
29,241
17,32
93,108
45,191
93,213
31,215
31,90
82,78
31,187
23,84
15,255
32,157
62,192
40,165
15,14
49,15
80,18
29,209
17,194
93,87
31,52
15,179
34,48
70,34
23,244
71,213
89,226
29,1
45,244
80,132
29,166
89,188
93,50
80,253
92,101
29,113
82,67
29,116
20,49
62,145
93,54
34,116
40,95
45,169
71,137
29,168
70,192
29,18
62,25
32,94
15,74
96,18
34,83
62,166
15,247
80,177
32,208
71,110
71,135
89,226
23,144
96,173
49,96
40,175
80,234
23,176
82,135
20,188
70,14
89,65
23,117
71,57
23,152
29,178
45,232
70,43
82,94
62,100
29,114
15,102
55,78
92,25
89,186
89,118
82,86
55,82
23,85
96,116
29,218
32,143
17,206
45,200
82,216
80,240
49,70
45,1
20,129
89,160
32,35
17,211
29,74
80,83
34,201
31,215
62,100
34,180
20,116
40,72
62,64
92,78
32,228
29,142
49,6
96,61
82,160
82,53
96,242
34,225
45,64
89,233
29,37
49,140
17,196
40,58
96,239
70,87
80,150
34,53
20,186
34,254
70,216
17,54
40,142
40,169
70,129
55,43
15,52
80,125
92,254
34,223
40,54
80,193
93,196
17,56
92,51
92,49
23,123
55,216
62,21
55,226
71,20
62,222
15,111
92,93
15,169
23,150
70,15
71,130
55,177
55,128
40,229
17,167
71,135
31,108
89,165
62,179
31,256
20,171
55,117
49,157
23,47
96,208
49,255
96,96
62,104
40,249
55,173
71,186
31,87
49,9
23,98
92,159
82,152
89,92
62,39
32,48
20,208
40,75
49,182
62,69
62,54
45,43
49,116
71,21
34,80
40,14
80,115
34,126
34,226
96,111
29,7
45,125
15,248
71,213
89,99
70,96
82,205
96,199
40,187
40,221
55,187
34,164
89,183
20,69
49,127
89,66
23,244
89,161
23,117
55,115
71,138
92,28
71,225
80,224
20,88
15,230
89,30
55,245
29,33
55,34
40,130
15,252
70,69
62,111
71,159
89,156
49,120
92,209
29,162
15,28
55,62
20,33
82,212
31,100
34,92
31,16
96,254
23,170
20,49
62,199
70,196
80,71
49,94
23,160
55,91
70,130
80,47
31,134
62,103
34,180
96,42
49,232
23,132
15,32
89,31
55,49
31,1
82,7
15,168
62,157
15,192
20,89
32,256
31,112
55,50
29,192
92,91
71,91
82,77
71,16
93,20
89,62
45,150
23,179
31,86
23,255
32,80
93,173
71,200
71,60
89,34
49,127
55,73
34,252
32,207
17,184
17,246
92,51
82,47
96,165
82,202
89,103
45,165
29,230
32,150
96,219
62,223
62,43
80,13
80,54
49,248
93,200
45,255
45,29
82,22
32,46
45,89
96,161
17,15
17,156
62,97
55,27
70,92
82,190
17,110
23,235
31,114
49,38
32,254
32,8
17,196
32,60
45,3
34,170
31,200
34,191
62,23
29,73
93,127
93,133
70,159
32,140
70,6
70,212
62,143
32,250
40,6
96,203
17,230
29,115
20,59
23,82
80,35
31,168
31,132
62,146
89,147
45,134
23,62
62,104
20,255
32,66
82,19
80,246
23,58
34,20
62,95
20,35
34,224
93,190
71,74
71,22
82,97
32,163
17,8
29,175
40,90
55,237
32,29
62,195
29,150
82,33
34,95
96,100
49,225
15,226
20,126
93,148
89,83
29,163
17,58
20,210
82,9
